pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z,pro/ret 2-4x,pro/ret 2-4y,pro/ret 2-4z,pt5_X',pt5_Y',pt5_Z',side (1-2),side (2-5'),side (5'-1) C,P/R comp�,Pro/Ret Ang,ele/dep 3-4x,ele/dep 3-4y,ele/dep 3-4z,"pt5_X""","pt5_Y""","pt5_Z""",side 2-3,"side 3-5""","side 5""-1 C",E/D comp �,Ele/Dep Ang
-5.290192,4.490453,14.695838,-4.646134,4.513609,15.14504,-4.644833,4.605329,13.943628,-4.121992,1.914139,13.712553,-3.51067,2.070483,12.045419,-4.716674,0.269255,13.166267,-0.524142,2.59947,1.432487,-4.034812,4.669953,13.477906,0.785575804,1.78255261,1.758282557,1.31704631,#DIV/0!,-0.522841,2.69119,0.231075,-4.033511,4.761673,12.276494,1.204908729,1.78255261,2.943704952,2.792208101,#DIV/0!
-5.295188,4.484244,14.703573,-4.670591,4.550976,15.096369,-4.655906,4.601936,13.920169,-4.128103,1.917394,13.711945,-3.516246,2.072666,12.046356,-4.720167,0.274126,13.160593,-0.542488,2.633582,1.384424,-4.058734,4.706248,13.43078,0.740853069,1.781197659,1.788324996,1.371147472,#DIV/0!,-0.527803,2.684542,0.208224,-4.044049,4.757208,12.25458,1.177395011,1.781197659,2.917336326,2.799943192,#DIV/0!
-5.301505,4.476252,14.699254,-4.674464,4.546457,15.10258,-4.664204,4.603655,13.917106,-4.130669,1.920226,13.712831,-3.521526,2.072621,12.051795,-4.721642,0.274762,13.161055,-0.543795,2.626231,1.389749,-4.065321,4.698852,13.441544,0.748853136,1.775758999,1.777508393,1.360737805,#DIV/0!,-0.533535,2.683429,0.204275,-4.055061,4.75605,12.25607,1.186897419,1.775758999,2.920652065,2.797477119,#DIV/0!
-5.313388,4.482516,14.689472,-4.679259,4.541003,15.110336,-4.679543,4.619663,13.892578,-4.133602,1.925433,13.712621,-3.527364,2.074147,12.056189,-4.723305,0.279576,13.157847,-0.545657,2.61557,1.397715,-4.073021,4.689717,13.453904,0.763326159,1.77014331,1.762972159,1.343866652,#DIV/0!,-0.545941,2.69423,0.179957,-4.073305,4.768377,12.236146,1.220295875,1.77014331,2.946158065,2.790946977,#DIV/0!
-5.323597,4.495929,14.680383,-4.683132,4.536484,15.116548,-4.694567,4.631844,13.864824,-4.137593,1.928349,13.713514,-3.547676,2.056382,12.082546,-4.725285,0.28127,13.156775,-0.545539,2.608135,1.403034,-4.093215,4.664517,13.48558,0.775938162,1.739094918,1.723315406,1.324998177,#DIV/0!,-0.556974,2.703495,0.15131,-4.10465,4.759877,12.233856,1.255403226,1.739094918,2.948636808,2.786400586,#DIV/0!
-5.331923,4.500543,14.68897,-4.688664,4.530878,15.125818,-4.707113,4.640553,13.852535,-4.141995,1.929266,13.717477,-3.552097,2.057828,12.08693,-4.727315,0.28351,13.156168,-0.546669,2.601612,1.408341,-4.098766,4.65944,13.495271,0.778163561,1.738732687,1.723612992,1.325216606,#DIV/0!,-0.565118,2.711287,0.135058,-4.117215,4.769115,12.221988,1.278130889,1.738732687,2.969097421,2.780948283,#DIV/0!
-5.338596,4.500096,14.690311,-4.692352,4.527141,15.131997,-4.718302,4.641768,13.832279,-4.145113,1.928766,13.720997,-3.555192,2.057329,12.090409,-4.727869,0.285114,13.155098,-0.547239,2.598375,1.411,-4.102431,4.655704,13.501409,0.783230019,1.738779013,1.722151481,1.321881814,#DIV/0!,-0.573189,2.713002,0.111282,-4.128381,4.770331,12.201691,1.305020931,1.738779013,2.99397694,2.775449277,#DIV/0!
-5.333884,4.482642,14.737318,-4.699741,4.532667,15.131301,-4.724544,4.636042,13.842946,-4.144963,1.938965,13.716582,-3.55854,2.061463,12.09074,-4.729756,0.288692,13.15493,-0.554778,2.593702,1.414719,-4.113318,4.655165,13.505459,0.748239567,1.732703063,1.742705409,1.366875541,#DIV/0!,-0.579581,2.697077,0.126364,-4.138121,4.75854,12.217104,1.29273361,1.732703063,2.976403835,2.777110929,#DIV/0!
-5.357566,4.459968,14.777254,-4.710458,4.549022,15.12366,-4.747135,4.614369,13.881087,-4.147022,1.940757,13.718999,-3.562593,2.060551,12.096197,-4.73031,0.290297,13.153861,-0.563436,2.608265,1.404661,-4.126029,4.668816,13.500858,0.739375747,1.728986463,1.785913665,1.434821137,#DIV/0!,-0.600113,2.673612,0.162088,-4.162706,4.734163,12.258285,1.244830548,1.728986463,2.923129031,2.766739789,#DIV/0!
-5.358107,4.453736,14.788193,-4.714882,4.545134,15.131352,-4.749706,4.612358,13.885645,-4.148943,1.945827,13.716333,-3.566196,2.061085,12.098168,-4.73229,0.291991,13.152789,-0.565939,2.599307,1.415019,-4.132135,4.660392,13.513187,0.734744918,1.723756491,1.780829679,1.4362309,#DIV/0!,-0.600763,2.666531,0.169312,-4.166959,4.727616,12.26748,1.248005492,1.723756491,2.921520516,2.768440298,#DIV/0!
