year,fore-aft,lateral-force,norma-force
305,-0.10501,-0.12337,-0.11226
306,-0.10623,-0.11742,-0.10931
307,-0.08936,-0.13659,-0.10644
308,-0.08052,-0.1315,-0.11705
309,-0.12258,-0.09642,-0.09468
310,-0.14524,-0.11594,-0.09657
311,-0.09848,-0.12039,-0.11234
312,-0.11428,-0.09521,-0.09635
313,-0.13323,-0.1242,-0.10845
314,-0.10512,-0.10209,-0.10303
315,-0.10012,-0.13455,-0.10818
316,-0.09225,-0.10696,-0.1158
317,-0.09785,-0.15429,-0.10759
318,-0.12186,-0.12751,-0.11519
319,-0.12201,-0.09993,-0.11831
320,-0.10094,-0.10237,-0.11141
321,-0.09544,-0.13782,-0.11135
322,-0.10213,-0.10783,-0.10188
323,-0.10572,-0.08574,-0.10033
324,-0.07868,-0.10445,-0.10541
325,-0.11309,-0.08664,-0.10414
326,-0.09547,-0.12326,-0.10097
327,-0.15123,-0.1282,-0.10049
328,-0.07433,-0.13547,-0.10344
329,-0.09824,-0.12342,-0.0966
330,-0.09535,-0.09243,-0.10824
331,-0.11937,-0.08309,-0.11831
332,-0.11785,-0.12667,-0.10575
333,-0.13061,-0.13772,-0.10594
334,-0.11017,-0.09122,-0.09884
335,-0.07354,-0.10129,-0.09579
336,-0.09892,-0.13607,-0.1133
337,-0.11098,-0.12216,-0.09808
338,-0.13177,-0.12043,-0.09644
339,-0.11385,-0.11027,-0.10505
340,-0.13473,-0.08807,-0.10758
341,-0.11597,-0.12902,-0.10351
342,-0.10566,-0.10788,-0.09979
343,-0.11977,-0.09065,-0.10978
344,-0.08713,-0.08368,-0.11471
345,-0.11786,-0.10095,-0.09526
346,-0.13386,-0.10422,-0.10616
347,-0.10221,-0.12309,-0.1007
348,-0.11376,-0.0937,-0.10543
349,-0.1239,-0.10131,-0.10282
350,-0.10779,-0.1064,-0.09853
351,-0.1214,-0.12658,-0.09216
352,-0.10788,-0.11525,-0.09524
353,-0.12033,-0.09517,-0.10098
354,-0.11523,-0.09436,-0.10097
355,-0.14709,-0.11934,-0.11119
356,-0.09645,-0.11124,-0.093
357,-0.11303,-0.10402,-0.09818
358,-0.09579,-0.13946,-0.11395
359,-0.12438,-0.14508,-0.10826
360,-0.08816,-0.11671,-0.10815
361,-0.11914,-0.12314,-0.11124
362,-0.09987,-0.11112,-0.08839
363,-0.10237,-0.11919,-0.10299
364,-0.13819,-0.09059,-0.10326
365,-0.12719,-0.0971,-0.10683
366,-0.11254,-0.11275,-0.09887
367,-0.09005,-0.11718,-0.10201
368,-0.0962,-0.12056,-0.09415
369,-0.11113,-0.12617,-0.10201
370,-0.12349,-0.12712,-0.09697
371,-0.09506,-0.13895,-0.10298
372,-0.14152,-0.11435,-0.11278
373,-0.11099,-0.10387,-0.09988
374,-0.09633,-0.10371,-0.11367
375,-0.10255,-0.09235,-0.11861
376,-0.1085,-0.13525,-0.0985
377,-0.1242,-0.11283,-0.09601
378,-0.13103,-0.11058,-0.10994
379,-0.13519,-0.11552,-0.09492
380,-0.09894,-0.12472,-0.10641
381,-0.11155,-0.13165,-0.10918
382,-0.11098,-0.12397,-0.10411
383,-0.11871,-0.1131,-0.09796
384,-0.10542,-0.12482,-0.11021
385,-0.10287,-0.10053,-0.09993
386,-0.12197,-0.10659,-0.0985
387,-0.10389,-0.11847,-0.10829
388,-0.11256,-0.10151,-0.09936
389,-0.13002,-0.11017,-0.0859
390,-0.11738,-0.10989,-0.09969
391,-0.12142,-0.10185,-0.10834
392,-0.11434,-0.12858,-0.1061
393,-0.11252,-0.1045,-0.11055
394,-0.10045,-0.12674,-0.09748
395,-0.10999,-0.11327,-0.11093
396,-0.0836,-0.10146,-0.10577
397,-0.09577,-0.10588,-0.11111
398,-0.12112,-0.1226,-0.09858
399,-0.10861,-0.1349,-0.11397
400,-0.10263,-0.10023,-0.09323
401,-0.1065,-0.12587,-0.12262
402,-0.09926,-0.1162,-0.10611
403,-0.09842,-0.11361,-0.10264
404,-0.08997,-0.10779,-0.09668
405,-0.1131,-0.12737,-0.09781
406,-0.09618,-0.10803,-0.10341
407,-0.09618,-0.09801,-0.09008
408,-0.10583,-0.12894,-0.11397
409,-0.09461,-0.14409,-0.1155
410,-0.10703,-0.13452,-0.11388
411,-0.11766,-0.12166,-0.11352
412,-0.10993,-0.14448,-0.10468
413,-0.1154,-0.10742,-0.10412
414,-0.1217,-0.11511,-0.11347
415,-0.12452,-0.11032,-0.1016
416,-0.10321,-0.12954,-0.09682
417,-0.12521,-0.11873,-0.09957
418,-0.13059,-0.122,-0.09792
419,-0.14561,-0.11673,-0.1071
420,-0.11822,-0.11981,-0.09125
421,-0.13244,-0.11668,-0.09092
422,-0.08537,-0.15419,-0.10278
423,-0.13322,-0.13996,-0.09507
424,-0.13466,-0.14016,-0.10311
425,-0.12415,-0.13377,-0.09588
426,-0.12849,-0.14433,-0.10342
427,-0.12648,-0.18419,-0.10903
428,-0.14766,-0.14979,-0.09233
429,-0.15057,-0.17006,-0.09478
430,-0.11098,-0.15455,-0.10002
431,-0.12273,-0.14929,-0.10468
432,-0.13642,-0.14755,-0.09713
433,-0.16243,-0.18055,-0.1125
434,-0.12449,-0.15708,-0.10004
435,-0.13048,-0.19414,-0.1162
436,-0.14078,-0.15641,-0.08829
437,-0.15293,-0.15317,-0.10753
438,-0.15782,-0.16441,-0.11125
439,-0.14037,-0.18293,-0.11891
440,-0.11887,-0.17737,-0.10304
441,-0.13043,-0.1872,-0.10445
442,-0.1729,-0.14507,-0.09926
443,-0.14846,-0.16217,-0.11779
444,-0.15672,-0.17092,-0.09736
445,-0.12907,-0.14309,-0.12961
446,-0.14316,-0.18896,-0.11017
447,-0.1375,-0.17633,-0.12958
