pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z,pt7_X,pt7_Y,pt7_Z,pt8_X,pt8_Y,pt8_Z
6.251252,4.461152,12.660367,6.658317,4.004215,13.137245,6.920827,4.207985,12.322472,6.858005,1.257419,10.557443,7.349866,0.576924,10.104415,5.825629,0.087699,10.075529,4.438669,0.144757,10.472307,NaN,NaN,NaN
6.250262,4.464993,12.665657,6.657833,4.005892,13.139661,6.919554,4.208101,12.329778,6.868413,1.289440,10.543681,7.349570,0.580092,10.103423,5.825116,0.089850,10.078414,4.441034,0.143928,10.473176,NaN,NaN,NaN
6.249528,4.465945,12.675278,6.657135,4.006623,13.145992,6.919062,4.209156,12.335548,6.868556,1.290094,10.547464,7.349900,0.581573,10.107154,5.825268,0.091165,10.078860,4.441220,0.144755,10.473134,NaN,NaN,NaN
6.247600,4.467547,12.681670,6.656043,4.008174,13.149911,6.913969,4.215401,12.348737,6.867120,1.289972,10.551422,7.348830,0.583774,10.107677,5.825685,0.090473,10.077437,4.439632,0.144000,10.473276,NaN,NaN,NaN
6.248342,4.468361,12.683982,6.656774,4.008364,13.155625,6.914687,4.216701,12.351525,6.867600,1.293427,10.552257,7.349159,0.585924,10.108069,5.825618,0.092145,10.082120,4.441032,0.142766,10.476033,NaN,NaN,NaN
6.248253,4.468119,12.691681,6.656290,4.010041,13.158041,6.914438,4.215629,12.359261,6.866785,1.292293,10.557602,7.348058,0.588607,10.109079,5.824787,0.092830,10.081258,4.441575,0.143867,10.475561,NaN,NaN,NaN
6.247283,4.472575,12.693597,6.656251,4.009912,13.161911,6.913327,4.217668,12.363635,6.866307,1.293959,10.559999,7.348864,0.587754,10.113753,5.825618,0.092145,10.082120,4.440966,0.143736,10.477019,NaN,NaN,NaN
6.247217,4.471839,12.700821,6.656538,4.011909,13.166171,6.912484,4.217091,12.369497,6.865208,1.296638,10.561008,7.348568,0.590922,10.112762,5.825027,0.096432,10.083124,4.441197,0.139890,10.481359,NaN,NaN,NaN
6.237877,4.504095,12.702100,6.657068,4.011776,13.172408,6.912397,4.217942,12.374301,6.864422,1.295019,10.565868,7.347974,0.590788,10.114228,5.825826,0.096234,10.084474,4.442081,0.143130,10.481297,NaN,NaN,NaN
6.214186,4.542395,12.658486,6.655825,4.012017,13.175894,6.911579,4.216876,12.379684,6.863944,1.296685,10.568265,7.349109,0.592754,10.115957,5.823962,0.098638,10.083644,4.442147,0.142160,10.480311,NaN,NaN,NaN
6.214366,4.542096,12.661345,6.655761,4.012381,13.180243,6.912323,4.217687,12.381993,6.863937,1.296026,10.571609,7.348484,0.593103,10.117911,5.825515,0.099890,10.083976,4.443670,0.143885,10.481155,NaN,NaN,NaN
6.214248,4.543460,12.666614,6.655180,4.015758,13.187422,6.910762,4.220053,12.388374,6.863099,1.296037,10.574096,7.348633,0.594419,10.118351,5.825451,0.100863,10.084950,4.442655,0.142585,10.483190,NaN,NaN,NaN
6.215189,4.544590,12.668411,6.655151,4.014511,13.194206,6.907743,4.231994,12.386566,6.864051,1.297166,10.575879,7.348634,0.593751,10.121689,5.825617,0.101014,10.088251,4.443229,0.142040,10.485082,NaN,NaN,NaN
