pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z,ElbowLa,ElbowLb,ElbowLc,ElbowAng,EA DEG,"Pt5 - Pt2 (x,z)","Pt1 - Pt2 (x,z)","Pt5 - Pt1 (x,z)",HPR Comp Ang,HPR DEG,"Pt3 - Pt5 (y,z)","Pt2 - Pt3 (y,z)","Pt5 - Pt2 (y,z)",HPR Comp Ang,HED DEG,,Phase,Max Elb,,,,,Max Pro/Ret,,,,,Max Elev/Dep,,,,,Min Elb,,,,,Min Pro/Ret,,,,,Min Elev/Dep,,,,,Initial Elb,,,,,Initial Pro/Ret,,,,,Intial Elev/Dep,,,,,Final Elb,,,,,Final Pro/Ret,,,,,Final Elev/Dep
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,Initiation,120.7089452,,,,,2.201185634,,,,,#VALUE!,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.268905,0.505494,9.767813,1.636535683,2.415810613,3.226240044,1.812709616,103.86,3.78365049,0.756651206,3.625433804,1.261153034,107.7412539,4.075049397,1.056555823,4.688804486,2.088642882,119.670422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.264862,0.510796,9.770954,1.657836188,2.412349866,3.229123151,1.805407413,103.44,3.835851334,0.751551675,3.661977011,1.240763139,108.9095087,4.07429839,1.038143809,4.724768345,2.152185303,123.3111346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.248198,0.526097,9.788849,1.676239248,2.398729968,3.234317383,1.808952527,103.65,3.831408864,0.728690422,3.644482487,1.218173529,110.2037981,4.109293259,0.999595147,4.726009832,2.143179468,122.7951382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.250919,0.567753,9.7616,1.672562643,2.399883129,3.239815757,1.814805334,103.98,3.83238888,0.719530544,3.651280579,1.224271829,109.8543912,4.107904316,1.004447987,4.737950241,2.156877361,123.5799697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.227865,0.545662,9.795122,1.647267418,2.418534836,3.231757553,1.809175652,103.66,3.846487735,0.719452627,3.693068997,1.263469535,107.6085281,4.094417735,1.021431259,4.72970371,2.147749866,123.0570028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.207142,0.548143,9.806585,1.65791411,2.413428912,3.257394871,1.828212614,104.75,3.77387623,0.728819872,3.664727806,1.324147091,104.1319602,4.097343333,0.97884349,4.718330458,2.168850542,124.2659825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.189979,0.572885,9.80718,1.641536907,2.413391673,3.257064983,1.8376502,105.29,3.773037893,0.685193565,3.707438442,1.384004381,100.7023901,4.112720643,0.970967936,4.729020474,2.170309248,124.3495602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.168059,0.595185,9.807857,1.648356242,2.438211632,3.277047009,1.832167355,104.98,3.745894867,0.713617184,3.667509638,1.365409267,101.7678117,4.108771053,0.980752585,4.708465656,2.13736265,122.4618592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.165143,0.621004,9.80341,1.64774598,2.409803191,3.30402801,1.877065035,107.55,3.665940601,0.73838644,3.570720507,1.340782267,103.1788348,4.114081139,0.990702765,4.709239783,2.12209385,121.5870214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.157004,0.606332,9.871901,1.619037272,2.404585653,3.298325336,1.894363519,108.54,3.615096665,0.700394937,3.558088932,1.392226038,100.2313239,4.111134786,0.947666575,4.692962795,2.143787259,122.8299621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.153057,0.656627,9.832884,1.646508543,2.393581656,3.313251185,1.898553413,108.78,3.695000969,0.73593045,3.575158833,1.30799349,105.0574934,4.122555331,0.988959638,4.72203871,2.129755979,122.026029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.140944,0.66232,9.820928,1.627587091,2.43014311,3.328568897,1.895640388,108.61,3.677308667,0.762395959,3.529776306,1.273127992,107.0551393,4.108639302,1.019701692,4.70533235,2.098514573,120.2360283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
